"GEMS TARIFF  FOR CONSULTATIVE SERVICES BY CONTRACTED  PSYCHIATRIST FOR ALL OPTIONS
WITH EFFECT FROM 2026-01-01",,022 - Psychiatry
Tariff Code,Tariff Description,2026 Tariff Value
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",
I.b,Specialists tiered consultation structure,
Psychiatrist  Old Consultative Coding Structure  ,,
I.b.1,New and established patients: Consultations/visits by psychiatrists (Pr 22) only,
0161,"Psychiatry ('22'): New and established patients: Consultation/visit of new or established patient with problem focused history, clinical examination and straightforward decision making for minor problem. Typically occupies the doctor personally with the patient between 10 and 20 minutes (for hospital consultation/visit by psychiatrist - refer to items 0166-0169)",R757.30
0162,"Psychiatry ('22'): New and established patients: Consultation/visit of new or established patient with detailed history, clinical examination and straightforward decision making and counselling. Typically occupies the doctor personally with the patient between 21 and 35 minutes (for hospital consultation/visit by psychiatrist - refer to items 0166-0169)","R1,388.20"
0163,"Psychiatry ('22'): New and established patients: Consultation/visit of new or established patient with detailed history, complete clinical examination and moderately complex decision making and counselling. Typically occupies the doctor personally with the patient between 36 and 45 minutes (for hospital consultation/visit by psychiatrist - refer to items 0166-0169)","R2,018.80"
0164,Psychiatry ('22'): New and established patients: Consultation/visit of new or established patient with comprehensive history and clinical examination for complex problem requiring complex decision making and counselling. Typically occupies a doctor personally with the patient between 46 and 60 minutes (for hospital consultation/visit by psychiatrist - refer to items 0166-0169),"R2,649.80"
0166,"Psychiatry (22): First hospital and follow-up consultation/visit with problem focused history, clinical examination and straightforward decision making for a minor problem. . Typically occupies the doctor personally with the patient for between 10 and 20 minutes ",R609.20
0167,"Psychiatry (22): First hospital and follow-up consultation/visit with problem focused history, clinical examination and straightforward decision making for a minor problem. . Typically occupies the doctor personally with the patient for between 21 and 35 minutes ",R810.50
0168,"Psychiatry (22): First hospital and follow-up consultation/visit with problem focused history, clinical examination and straightforward decision making for a minor problem. . Typically occupies the doctor personally with the patient for between 36 and 45 minutes ","R1,011.50"
0169,"Psychiatry (22): First hospital and follow-up consultation/visit with problem focused history, clinical examination and straightforward decision making for a minor problem. . Typically occupies the doctor personally with the patient for between 46 and 60 minutes ","R1,218.80"
I.c.4,Add-on Consultative services ,
I.c.note ,"Items 0190-0193 and items 0173-0175 (as appropriate) should be used by all medical doctors,except for psychiatrists who should use items 0161-0169 (as appropriate) for new consultations/treatment (therapy)(C/T).
(a) Only one of the items 0190-0193 and items 0173-0175 (as appropriate) ,may be used for a single service and not combinations thereof.
(b) The use of ICD-10 codes became compulsory from January 1,2005. Please note that the description of the ICD-10 may not appear on the account,only the code will suffice.
(c) These services must be with the patient personally and excludes the time spent doing investigations that are coded in addition to the consultation/visit.
(d) Only one of the add-on items 0145,0146,0126 and 0147 (as appropriate) and not combinations thereof.",
0126,"For an UNSCHEDULED consultation/visit AT the doctor's home or rooms: ADD only to the consultation/visit items 0190-0193, items 0161-0164 or items 0151-0153, as appropriate. Note: Only one of items 0145, 0146, 0126 or 0147 may be charged and not combinations thereof",R386.80
0129,"Prolonged face-to-face attendance to a patient:  ADD to either item 0192, item 0175, item 0164 or item 0169 as appropriate, for each 15-minute period only if service extends 10 minutes or more into the next 15-minute period following on the first 60 minutes",R686.50
0130,"Telephone consultation for GPs and Specialists (all hours) via virtual platforms ( SMS, what apps  , video and voice calls etc). Applicable during the Covid 19 Pandemic ",R0.00
0132,"Consulting service e.g. writing of repeat scripts or requesting routine preauthorization without the physical presence of the patient (needs not be face-to-face contact), via virtual platforms ( SMS, what apps  , video and voice calls etc). Applicable during the Covid 19 Pandemic",R180.40
0145,"For consultation/visit away from the doctor's home or rooms (non-emergency): ADD only to the consultation/visit items 0190-0192, items 0173-0175, items 0161-0164 or items 0166-0169, as appropriate. Note: Only one of items 0145, 0146 or 0147 may be charged and not combinations thereof",R274.60
0146,"For an unscheduled emergency consultation/visit at the doctors' home or rooms, all hours: ADD only to the consultation/visit items 0190-0192, items 0161-0164 or items 0151-0153, as appropriate (refer to general rule B). Note: Only one of items 0145, 0146 or 0147 may be charged and not combinations thereof",R366.10
0147,"For an emergency OR unscheduled consultation/visit AWAY from the medical doctor’s home or rooms, all hours: ADD only to the consultation/visit items 0190- 0193, items 0173-0175, items 0161-0164 or 0166-0169 or items 0151-0153, as appropriate. Note: Only one of items 0145, 0146, 0126 or 0147 may be charged and not combinations thereof",R567.60
0148,"For elective after-hours services on request of the patient or family (non emergency) (refer to general rule B(a)): ADD 50% of the fee for the appropriate consultation/visit item (only to be used with items 0190-0193, items 0173-0175, items 0161-0164, items 0166-0169 or items 0151-0153) and reflect this as a separate item 0148. Usage: This item is used when, for example, a patient or the family request the doctor for a non-emergency consultation/visit outside of the practitioners' normal hours period.",R0.00
0149,"After-hours bona fide emergency consultation/visit (21:00-06:00 daily): ADD 25% of the fee for the appropriate consultation/visit item (only to be used with items 0190-0193, items 0173-0175, items 0161- 0164, items 0166-0169 or, items 0151-0153 or item 0113) and reflect this as a separate item 0149",R181.50
I.g,Consultative services: Miscellaneous,
0133,Writing of special motivations for procedures and treatment without the physical presence of a patient (includes report on the clinical condition of a patient) requested by or on behalf of a third party funder or its agent,R364.70
0199,Completion of chronic medication forms by medical practitioners with or without the physical presence of the patient requested by or on behalf of a third party funder or its agent,R764.50
14.11,Medical Psychotherapy,
,RULES GOVERNING THE SECTION MEDICAL PSYCHOTHERAPY,
V.,"(a) Electro-convulsive treatment:  Visits at hospital or nursing home during a course of electro-convulsive treatment are justified and may be charged for in addition to the fees for the procedure. (b) Except where otherwise indicated, the duration of a medical psychotherapeutic session is set at 20 minutes or part thereof, provided that such a part comprises 50% or more of the time of a session.  This set duration is also applicable for psychiatric examination methods",
0079,"When a first or follow-up consultation/visit proceeds into or is immediately followed by a medical psychotherapeutic procedure, both the consultation/visit and the psychotherapy codes (items 2957, 2974 or 2975) may be coded. Please note: When adding psychotherpay items after a first or follow-up consultation the clinician must ensure that the time stipulated for the psychotherapy items are adhered to ( ie. item 2957 - minimum 10 minutes, item 2974 - minimum 30 minutes, and item 2975 - minimum 50 minutes)",
2957,Individual psychotherapy (specify type): Including play therapy for children: Per short session (20 minutes),R967.20
2958,Psychoanalytic therapy: Per 60-minute session,"R2,900.40"
2962,"Directive therapy to family, parent(s), spouse: Per 20-minute session",R967.20
2963,"Pairs, marriage or sex therapy: Per 20-minute session",R967.20
2974,Individual psychotherapy (specify type): Including play therapy for children: Per intermediate session (40 minutes),"R1,933.60"
2975,Individual psychotherapy (specify type): Including play therapy for children: Per extended session (60 minutes or longer),"R2,900.40"
2976,Intermediate treatment where either items 2962 or 2963 are used: Per 40-minute session,"R1,933.60"
2977,Extended treatment where either items 2962 or 2963 are used: Per 60-minute session,"R2,900.40"
14.11.1,Diagnostic procedures,
14.11.2,Psychiatrist (Pr ''22): Psychiatrist Team Conference (PTC) ,
2942,"Psychiatric team conference with an interdisciplinary team of health care professionals of the multi- disciplinary team, patient and/or family not present. Participation by a minimum of 2 but not more than 3 psychiatrists as well as the other health professionals, for each patient discussed at the PTC, discussion lasting 6 to 10 minutes.",R0.00
2943,"Psychiatric team conference with an interdisciplinary team of health care professionals of the multi- disciplinary team, patient and/or family not present, participation by a minimum of 2 but not more than 3 psychiatrists as well as the other health professionals, for each patient discussed at the PTC, discussion lasting 11 to 15 minutes",R0.00
2944,"Psychiatric team conference with an interdisciplinary team of health care professionals of the multi- disciplinary team, patient and/or family not present, participation by a minimum of 2 but not more than 3 psychiatrists as well as the other health professionals, for each patient discussed at the PTC, discussion lasting 16 to 20 minutes",R0.00
2945,"Psychiatric team conference with an interdisciplinary team of health care professionals of the multi- disciplinary team, patient and/or family not present, participation by a minimum of 2 but not more than 3 psychiatrists as well as the other health professionals, for each patient discussed at the PTC, discussion lasting 21 to 25 minutes",R0.00
2946,"Psychiatric team conference with an interdisciplinary team of health care professionals of the multi- disciplinary team, patient and/or family not present, participation by a minimum of 2 but not more than 3 psychiatrists as well as the other health professionals, for each patient discussed at the PTC, discussion lasting 26 to 30 minutes",R0.00
14.12,Physical treatment methods,
2968,Group therapy: Adults (specify number): Tariff per person per 80-minute session; Children (specify number): Tariff per person per 80-minute session,"R1,257.20"
2970,"Electro-convulsive treatment (ECT): Each time; inpatient (may be combined with Consultation/Treatment (Therapy) (C/T) codes if both performed on the same day) If a patient has Electro-convulsive treatment (ECT) on the same day as a consultation, psychotherapy or group therapy, the Consultation/Treatment (Therapy) (C/T) and group therapy codes may be combined with the Electro-convulsive treatment (ECT) code. A consultation, psychotherapy or group therapy should be done before Electro-convulsive treatment (ECT) or at least an hour after Electro- convulsive treatment (ECT).",R822.10
14.12.1,Therapeutice Repetitive Tarnscranial Magnetic Stimulation (TMS) Treatment ,
2948,"Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; initial, including cortical mapping, motor threshold determination, delivery, and management",R0.00
2949,"Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; subsequent delivery and management, per session",R0.00
2950,Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; subsequent motor threshold re-determination with delivery and management,R0.00
