"GEMS TARIFF  FOR CONSULTATIVE SERVICES BY NON-CONTRACTED MEDICAL PRACTITIONERS
WITH EFFECT FROM 2026-01-01",,010 - Anaesthesiologists,012 - Dermatology,014 - General Medical Practice,015 - Family Physicians,016 - Obstetrics and Gynaecology,017 - Pulmonology,018 - Medicine (Specialist Physician,019 - Gastroenterology,020 - Neurology,021 - Cardiology,023 - Medical Oncology,024 - Neurosurgery,025 - Nuclear Medicine,026 - Opthalmology,027 - Clinical Haematology,028 - Orthopaedics,030 - Otorhinolaryngology,031 - Rheumatology,032 - Paediatricians,033 - Paediatric Cardiology,034 - Physical Medicine,036 - Plastic and Reconstructive Sur,038 - Radiology,040 - Radiation Oncology/Nuclear Med,042 - Surgery/Paediatric surgery,044 - Cardiothoracic Surgery,046 - Urology,052 - Pathology,053 - Anatomical Pathology invalid/BHF,114 - Paediatric Surgeon
Tariff Code,Tariff Description,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,,,,,,,,,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value 
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.c.1.,New and established patient consultation/visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0190,New and established patient: Consultation/visit of new or established patient of an average duration and/or complexity.  Includes counselling  with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (for hospital consultation/visit - refer to item 0173-0175 or item 0109) - not appropriate for pre-anaesthetic assessment followed by the appropriate anaesthetics - refer to new anaesthetic structure ,R482.60,R505.60,R477.50,R498.60,R517.10,R762.30,R762.30,R762.30,R762.30,R762.30,R776.80,R762.30,R776.80,R498.60,R776.80,R498.60,R498.60,R762.30,R746.70,R763.80,R776.80,R498.60,R508.00,R508.00,R498.60,R762.30,R498.60,R503.20,R505.60,R498.60
0191,New and established patient: Consultation/visit of new or established patient of a moderately above average duration and/or complexity.  Includes counselling with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (for hospital consultation/visit - refer to item 0173-0175 or item 0109) - not appropriate for pre-anaesthetic assessment followed by the appropriate anaesthetics - refer to new anaesthetic structure ,R482.60,R505.60,R477.50,R498.60,R517.10,R762.30,R762.30,R762.30,R762.30,R762.30,R776.80,R762.30,R776.80,R498.60,R776.80,R498.60,R498.60,R762.30,R746.70,R763.80,R776.80,R498.60,R508.00,R508.00,R498.60,R762.30,R498.60,R503.20,R505.60,R498.60
0192,New and established patient: Consultation/visit of new or established patient of long duration and/or high complexity.  Includes counselling with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (for hospital consultation/visit - refer to item 0173-0175 or item 0109) - not appropriate for pre-anaesthetic assessment followed by the appropriate anaesthetics - refer to new anaesthetic structure ,R482.60,R505.60,R477.50,R498.60,R517.10,R762.30,R762.30,R762.30,R762.30,R762.30,R776.80,R762.30,R776.80,R498.60,R776.80,R498.60,R498.60,R762.30,R746.70,R763.80,R776.80,R498.60,R508.00,R508.00,R498.60,R762.30,R498.60,R503.20,R505.60,R498.60
0193,New and established patient: Consultation/visit of new or established patient of long duration and/or high complexity.  Includes counselling with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (for hospital consultation/visit - refer to item 0173-0175 or item 0109). Typically the doctor spends between 46 and 60 minutes with the patient and/or family.,R482.60,R505.60,R477.50,R498.60,R517.10,R762.30,R762.30,R762.30,R762.30,R762.30,R776.80,R762.30,R776.80,R498.60,R776.80,R498.60,R498.60,R762.30,R746.70,R763.80,R776.80,R498.60,R508.00,R508.00,R498.60,R762.30,R498.60,R503.20,R505.60,R498.60
I.c.2.,Hospital consult /visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0173,First hospital consultation/visit of an average duration and/or complexity. Includes counselling with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (not appropriate for pre-anaesthetic assessment followed by the appropriate anaesthetics - refer to new anaesthetic structure)  ,R478.00,R500.90,R477.50,R477.50,R512.20,R755.00,R755.00,R755.00,R755.00,R755.00,R769.20,R755.00,R769.20,R493.90,R769.20,R493.90,R493.90,R755.00,R739.60,R756.50,R769.20,R493.90,R503.20,R503.20,R493.90,R755.00,R493.90,R498.40,R500.70,R493.90
0174,First hospital consultation/visit of a moderately above average duration and/or complexity.  Includes counselling with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (not appropriate for pre-anaesthetic assessment followed by the appropriate anaesthetics - refer to new anaesthetic structure)  ,R478.00,R500.90,R477.50,R477.50,R512.20,R755.00,R755.00,R755.00,R755.00,R755.00,R769.20,R755.00,R769.20,R493.90,R769.20,R493.90,R493.90,R755.00,R739.60,R756.50,R769.20,R493.90,R503.20,R503.20,R493.90,R755.00,R493.90,R498.40,R500.70,R493.90
