"GEMS TARIFF  FOR CONSULTATIVE SERVICES BY CONTRACTED MEDICAL PRACTITIONERS
WITH EFFECT FROM 2026-01-01",,010 - Anaesthesiologists,014 - General Medical Practice,015 - Family Physicians,016 - Obstetrics and Gynaecology,017 - Pulmonology,"018 - Medicine 
(Specialist Physician",019 - Gastroenterology,020 - Neurology,021 - Cardiology,024 - Neurosurgery,026 - Opthalmology,028 - Orthopaedics,030 - Otorhinolaryngology,031 - Rheumatology,032 - Paediatricians,036 - Plastic and Reconstructive Sur,042 - Surgery/Paediatric surgery,44 - Cardiothoracic Surgery,046 - Urology,114 - Peadiatric Surgeon,12200-Psychiatry 
Prac Type,Tariff Description,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value ,2026 Tariff Value 
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",,,,,,,,,,,,,,,,,,,,,
I.c.1.,New and established patient consultation/visit,,,,,,,,,,,,,,,,,,,,,
0190,New and established patient: Consultation/visit of new or established patient of an average duration and/or complexity.  Includes counselling  with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (for hospital consultation/visit - refer to item 0173-0175 or item 0109) - not appropriate for pre-anaesthetic assessment followed by the appropriate anaesthetics - refer to new anaesthetic structure ,R680.40,R532.80,R691.90,R744.70,"R1,075.10","R1,075.10","R1,075.10","R1,075.10","R1,075.10","R1,075.10",R703.20,R703.20,R703.20,"R1,075.10","R1,075.10",R703.20,R703.20,"R1,075.10",R703.20,R703.20,Tariff codes appropriate to psychiatry consultations are contained in the Contracted Psychiatry Medical Practitioner file.
0191,New and established patient: Consultation/visit of new or established patient of a moderately above average duration and/or complexity.  Includes counselling with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (for hospital consultation/visit - refer to item 0173-0175 or item 0109) - not appropriate for pre-anaesthetic assessment followed by the appropriate anaesthetics - refer to new anaesthetic structure ,R680.40,R532.80,R691.90,R744.70,"R1,075.10","R1,075.10","R1,075.10","R1,075.10","R1,075.10","R1,075.10",R703.20,R703.20,R703.20,"R1,075.10","R1,075.10",R703.20,R703.20,"R1,075.10",R703.20,R703.20,
0192,New and established patient: Consultation/visit of new or established patient of long duration and/or high complexity.  Includes counselling with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (for hospital consultation/visit - refer to item 0173-0175 or item 0109) - not appropriate for pre-anaesthetic assessment followed by the appropriate anaesthetics - refer to new anaesthetic structure ,R680.40,R532.80,R691.90,R744.70,"R1,075.10","R1,075.10","R1,075.10","R1,075.10","R1,075.10","R1,075.10",R703.20,R703.20,R703.20,"R1,075.10","R1,075.10",R703.20,R703.20,"R1,075.10",R703.20,R703.20,
0193,New and established patient: Consultation/visit of new or established patient of long duration and/or high complexity.  Includes counselling with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (for hospital consultation/visit - refer to item 0173-0175 or item 0109). Typically the doctor spends between 46 and 60 minutes with the patient and/or family.,R680.40,R532.80,R691.90,R744.70,"R1,075.10","R1,075.10","R1,075.10","R1,075.10","R1,075.10","R1,075.10",R703.20,R703.20,R703.20,"R1,075.10","R1,075.10",R703.20,R703.20,"R1,075.10",R703.20,R703.20,
I.c.2.,Hospital consult /visit,,,,,,,,,,,,,,,,,,,,,
0173,First hospital consultation/visit of an average duration and/or complexity. Includes counselling with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (not appropriate for pre-anaesthetic assessment followed by the appropriate anaesthetics - refer to new anaesthetic structure)  ,R650.10,R532.80,R532.80,R711.60,"R1,027.40","R1,027.40","R1,027.40","R1,027.40","R1,027.40","R1,027.40",R672.00,R672.00,R672.00,"R1,027.40","R1,027.40",R672.00,R672.00,"R1,027.40",R672.00,R672.00,
0174,First hospital consultation/visit of a moderately above average duration and/or complexity.  Includes counselling with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (not appropriate for pre-anaesthetic assessment followed by the appropriate anaesthetics - refer to new anaesthetic structure)  ,R650.10,R532.80,R532.80,R711.60,"R1,027.40","R1,027.40","R1,027.40","R1,027.40","R1,027.40","R1,027.40",R672.00,R672.00,R672.00,"R1,027.40","R1,027.40",R672.00,R672.00,"R1,027.40",R672.00,R672.00,
