"GEMS OCULARIST TARIFFS
WITH EFFECT FROM 2026-01-01",,090 - Ocularists,
Tariff Code,Tariff Description,2026 Tariff values,Flag
53015,Prosthetic Consultation,R925.70,
53115,Impression for all Ocular Prosthetics,"R3,736.60",
53215,Iris Colour,"R1,544.40",
53315,Model Fitting,"R8,553.50",
53415,Prosthesis Manufacture and Moulding,"R9,882.50",
53515,Follow-up (within 6 months),R511.40,
53615,Consultation away from Practice,"R1,850.30",
53715,Glass Eye; complete with Consultation and Fitting,"R6,935.80",
53815,Drill Ball and socket (pegging to Coral),"R1,594.10",
53915,Trimming and Re-shaping,R756.20,
54015,Build-up,"R2,234.40",
54115,Veining,"R1,046.40",
54215,Polishing,R464.10,
54315,Materials for Custom Eye,"R2,914.60",
54415,Stock Eye,"R1,054.60",
54515,Prosthetic Haptic Shell,"R4,424.90",
54615,Motility/Coupling Peg,,
54715,Conforma Supply & Fit,"R1,231.10",
54815,Conforma Supply Only,R769.60,
54915,Surcharge – children under 5 years of age,"R4,688.00",
55015,Assist in Theatre – per 30 minutes,R971.10,
56000,Complete Eye,"R30,092.00",
56010,Complete Haptic Shell,"R34,548.10",
58001,Iris Conformer,,
59001,Annual Ocular Prosthetic Maintenance,"R2,948.00",
