GEMS TARIFF FOR SERVICES BY NON-CONTRACTED DENTISTS AND DENTAL SPECIALISTS WITH EFFECT FROM 2026-01-01,,054 - General Dental Practitioner,062 - Maxillo facial and Oral surgery,064 - Orthodontics,092 - Oral medicine and Periodontics,094 - Prosthodontist,098 - Oral Pathology
Tariff Code,Description of tariff codes,2026 Tariff value,2026 Tariff value,2026 Tariff value,2026 Tariff value,2026 Tariff value,2026 Tariff value
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.", ,,,, , 
,"The schedule includes procedures and services for use by Oral Health Care Providers for purposes of keeping accurate patient records, reporting procedures on patients, and processing oral health care related insurance claims. The procedures are those performed by general dental practitioners, oral pathologists, prosthodontists, periodontists, orthodontists, maxillo-facial and oral surgeons and dental therapists.

The procedures codes listed in the schedule have, for the convenience in using the schedule, been divided into categories of services, based on the branches of clinical dental practice. The procedures are grouped under the category of service with which the procedures are most frequently identified and should not be interpreted as excluding certain categories of Oral Health Care Providers from performing such procedures. Individual procedure codes consist of a procedure code, procedure description (nomenclature), and when necessary, a descriptor, that provides further definition and/or guidelines to clarify the intended use of the procedure code.", ,,,, , 
I.,INTRODUCTION,,,,,,
A.,Administrative and invoicing rules,,,,,,
001,Invoices:, ,,,,,
,"a.	A practitioner shall render a monthly invoice for every procedure which has been completed irrespective of whether the total treatment plan has been concluded.	", ,,,,,
,b.	An invoice shall contain the following particulars:	, ,,,,,
,"i. The surname and initials of the member;
ii. The first name of the patient;
iii. The name of the scheme;
iv. The membership number of the member;
v. The practice number;
vi. The date on which every service was rendered;
vii. The code number, description and fee/benefit of the procedure or service;
viii. The name of the dentist rendering the service;
ix. The name of the general dental practitioner/specialist assistant (when applicable);
x. The appropriate ICD-10 code(s) for the procedures performed.", ,,,,,
,Note: Photocopies of original invoices shall be certified by way of a rubber stamp or the signature of the dentist.,,,,,,
